"id","title","designNo","slug","diamondType","goldWeight","goldType","diamondWeight","mcPercentage","diamondPcs","category"
281,"02-13203","02-13203","02-13203","[""IJS""]","[1.57]","[""18K""]","[0.109]",16.2,18,"FULL SET"
282,"03-13203","03-13203","03-13203","[""IJS""]","[1.04]","[""18K""]","[0.107]",23,12,"FULL SET"
283,"01-12749","01-12749","01-12749","[""IJS""]","[2.32]","[""18K""]","[0.126]",18.8,14,"FULL SET"
284,"02-12749","02-12749","02-12749","[""IJS""]","[3.65]","[""18K""]","[0.251]",19,28,"FULL SET"
285,"03-12749","03-12749","03-12749","[""IJS""]","[1.52]","[""18K""]","[0.178]",30,14,"FULL SET"
286,"01-10806","01-10806","01-10806","[""IJS""]","[2.23]","[""18K""]","[0.178]",23,7,"FULL SET"
287,"02-10806","02-10806","02-10806","[""IJS""]","[4.05]","[""18K""]","[0.362]",15.2,30,"FULL SET"
288,"03-10806","03-10806","03-10806","[""IJS""]","[2]","[""18K""]","[0.238]",19,15,"FULL SET"
289,"01-10816","01-10816","01-10816","[""IJS""]","[2.61]","[""18K""]","[0.148]",22,7,"FULL SET"
290,"02-10816","02-10816","02-10816","[""IJS""]","[3.67]","[""18K""]","[0.382]",20,14,"FULL SET"
291,"03-10816","03-10816","03-10816","[""IJS""]","[1.59]","[""18K""]","[0.148]",16.2,7,"FULL SET"
292,"01-10279(1)","01-10279(1)","01-10279-1","[""IJS""]","[2.3]","[""18K""]","[0.09]",23,4,"FULL SET"
293,"02-10279(1)","02-10279(1)","02-10279-1","[""IJS""]","[2.73]","[""18K""]","[0.16]",18.8,8,"FULL SET"
294,"03-10279(1)","03-10279(1)","03-10279-1","[""IJS""]","[1.47]","[""18K""]","[0.09]",19,4,"FULL SET"
295,"01-11648","01-11648","01-11648","[""IJS""]","[2.62]","[""18K""]","[0.181]",19,3,"FULL SET"
296,"02-11648","02-11648","02-11648","[""IJS""]","[2.49]","[""18K""]","[0.278]",30,6,"FULL SET"
297,"03-11648","03-11648","03-11648","[""IJS""]","[0.9]","[""18K""]","[0.206]",23,3,"FULL SET"
298,"01-11313","01-11313","01-11313","[""IJS""]","[1.93]","[""18K""]","[0.38]",15.2,16,"FULL SET"
299,"02-11313","02-11313","02-11313","[""IJS""]","[2.53]","[""18K""]","[0.76]",19,32,"FULL SET"
300,"03-11313","03-11313","03-11313","[""IJS""]","[1.15]","[""18K""]","[0.38]",22,16,"FULL SET"
301,"01-10316(1)","01-10316(1)","01-10316-1","[""IJS""]","[2.71]","[""18K""]","[0.08]",20,4,"FULL SET"
302,"02-10316(1)","02-10316(1)","02-10316-1","[""IJS""]","[3.11]","[""18K""]","[0.18]",19,8,"FULL SET"
303,"03-10316(1)","03-10316(1)","03-10316-1","[""IJS""]","[2.04]","[""18K""]","[0.116]",18,4,"FULL SET"
304,"22-10811(5)","22-10811(5)","22-10811-5","[""IJS""]","[2.45]","[""18K""]","[0.045]",18.8,2,"EARRING"
305,"22-10811(6)","22-10811(6)","22-10811-6","[""IJS""]","[2.65]","[""18K""]","[0.106]",19,2,"EARRING"
306,"22-10811(1)","22-10811(1)","22-10811-1","[""IJS""]","[2.15]","[""18K""]","[0.176]",30,2,"EARRING"
307,"22-11129","22-11129","22-11129","[""IJS""]","[1.54]","[""18K""]","[0.134]",23,8,"EARRING"
308,"22-12434","22-12434","22-12434","[""IJS""]","[2.7]","[""18K""]","[0.132]",15.2,14,"EARRING"
309,"22-12429","22-12429","22-12429","[""IJS""]","[2.69]","[""18K""]","[0.142]",19,16,"EARRING"
310,"22-11395","22-11395","22-11395","[""IJS""]","[2.43]","[""18K""]","[0.147]",22,6,"EARRING"
311,"22-A0267","22-A0267","22-A0267","[""IJS""]","[2.38]","[""18K""]","[0.163]",20,14,"EARRING"
312,"22-12454","22-12454","22-12454","[""IJS""]","[2.83]","[""18K""]","[0.164]",16.2,14,"EARRING"
313,"22-12433","22-12433","22-12433","[""IJS""]","[2.34]","[""18K""]","[0.168]",23,24,"EARRING"
314,"22-12432","22-12432","22-12432","[""IJS""]","[3.03]","[""18K""]","[0.168]",18.8,26,"EARRING"
315,"22-11128","22-11128","22-11128","[""IJS""]","[1.83]","[""18K""]","[0.166]",19,12,"EARRING"
316,"22-11126","22-11126","22-11126","[""IJS""]","[1.86]","[""18K""]","[0.186]",19,14,"EARRING"
317,"22-12450","22-12450","22-12450","[""IJS""]","[3.04]","[""18K""]","[0.224]",30,32,"EARRING"
318,"22-12422","22-12422","22-12422","[""IJS""]","[2.48]","[""18K""]","[0.196]",23,14,"EARRING"
319,"22-A0237","22-A0237","22-A0237","[""IJS""]","[2.05]","[""18K""]","[0.227]",15.2,36,"EARRING"
320,"22-12456","22-12456","22-12456","[""IJS""]","[2.23]","[""18K""]","[0.254]",19,32,"EARRING"
321,"22-A0394-1","22-A0394-1","22-A0394-1","[""IJS""]","[2.82]","[""18K""]","[0.332]",22,38,"EARRING"
322,"22-12446","22-12446","22-12446","[""IJS""]","[2.95]","[""18K""]","[0.268]",20,28,"EARRING"
323,"22-12451","22-12451","22-12451","[""IJS""]","[2.47]","[""18K""]","[0.274]",19,26,"EARRING"
324,"22-A0016","22-A0016","22-A0016","[""IJS""]","[3]","[""18K""]","[0.304]",18,32,"EARRING"
325,"22-10975","22-10975","22-10975","[""IJS""]","[4]","[""18K""]","[0.32]",18.8,8,"EARRING"
326,"22-A0263","22-A0263","22-A0263","[""IJS""]","[2.63]","[""18K""]","[0.354]",19,50,"EARRING"
327,"22-A0262","22-A0262","22-A0262","[""IJS""]","[2.54]","[""18K""]","[0.373]",30,50,"EARRING"
328,"22-11502","22-11502","22-11502","[""IJS""]","[2.24]","[""18K""]","[0.379]",23,18,"EARRING"
329,"02-12127(1)","02-12127(1)","02-12127-1","[""IJS""]","[5.22]","[""18K""]","[0.61]",15.2,72,"EARRING"
330,"22-11855","22-11855","22-11855","[""IJS""]","[4.14]","[""18K""]","[0.619]",19,58,"EARRING"
331,"22-11406","22-11406","22-11406","[""IJS""]","[2.55]","[""18K""]","[0.238]",22,18,"EARRING"
332,"22-11868","22-11868","22-11868","[""IJS""]","[2.42]","[""18K""]","[0.48]",20,58,"EARRING"
333,"02-12483(1)","02-12483(1)","02-12483-1","[""IJS""]","[5.23]","[""18K""]","[0.636]",16.2,118,"EARRING"
334,"22-A0252","22-A0252","22-A0252","[""IJS""]","[3.7]","[""18K""]","[1.004]",23,104,"EARRING"
335,"SE0034","SE0034","SE0034","[""IJS""]","[2.22]","[""18K""]","[0.605]",18.8,64,"EARRING"
336,"SE0039","SE0039","SE0039","[""IJS""]","[2.05]","[""18K""]","[0.512]",19,64,"EARRING"
337,"SE0010","SE0010","SE0010","[""IJS""]","[1.68]","[""18K""]","[0.694]",19,32,"EARRING"
338,"22-A0250","22-A0250","22-A0250","[""IJS""]","[3.54]","[""18K""]","[0.935]",30,108,"EARRING"
339,"22-A0254","22-A0254","22-A0254","[""IJS""]","[3.15]","[""18K""]","[0.731]",23,96,"EARRING"
340,"22-A0256","22-A0256","22-A0256","[""IJS""]","[3.16]","[""18K""]","[0.8]",15.2,92,"EARRING"
341,"SE0029","SE0029","SE0029","[""IJS""]","[1.97]","[""18K""]","[0.595]",19,64,"EARRING"
342,"22-A0257","22-A0257","22-A0257","[""IJS""]","[3.66]","[""18K""]","[0.816]",22,100,"EARRING"
343,"22-A0255","22-A0255","22-A0255","[""IJS""]","[3.14]","[""18K""]","[0.722]",20,92,"EARRING"
344,"SE0011","SE0011","SE0011","[""IJS""]","[1.32]","[""18K""]","[0.593]",19,32,"EARRING"
